#Number of bNodes
160
#Number of boundaries
4
#node	x	y	boundary number	
0	0	0	1
4	0.5	0	1
5	1	0	1
6	1.5	0	1
7	2	0	1
8	2.5	0	1
9	3	0	1
10	3.5	0	1
11	4	0	1
12	4.5	0	1
13	5	0	1
14	5.5	0	1
15	6	0	1
16	6.5	0	1
17	7	0	1
18	7.5	0	1
19	8	0	1
20	8.5	0	1
21	9	0	1
22	9.5	0	1
23	10	0	1
24	10.5	0	1
25	11	0	1
26	11.5	0	1
27	12	0	1
28	12.5	0	1
29	13	0	1
30	13.5	0	1
31	14	0	1
32	14.5	0	1
33	15	0	1
34	15.5	0	1
35	16	0	1
36	16.5	0	1
37	17	0	1
38	17.5	0	1
39	18	0	1
40	18.5	0	1
41	19	0	1
42	19.5	0	1
1	20	0	1
43	20	0.5	2
44	20	1	2
45	20	1.5	2
46	20	2	2
47	20	2.5	2
48	20	3	2
49	20	3.5	2
50	20	4	2
51	20	4.5	2
52	20	5	2
53	20	5.5	2
54	20	6	2
55	20	6.5	2
56	20	7	2
57	20	7.5	2
58	20	8	2
59	20	8.5	2
60	20	9	2
61	20	9.5	2
62	20	10	2
63	20	10.5	2
64	20	11	2
65	20	11.5	2
66	20	12	2
67	20	12.5	2
68	20	13	2
69	20	13.5	2
70	20	14	2
71	20	14.5	2
72	20	15	2
73	20	15.5	2
74	20	16	2
75	20	16.5	2
76	20	17	2
77	20	17.5	2
78	20	18	2
79	20	18.5	2
80	20	19	2
81	20	19.5	2
3	20	20	2
82	19.5	20	3
83	19	20	3
84	18.5	20	3
85	18	20	3
86	17.5	20	3
87	17	20	3
88	16.5	20	3
89	16	20	3
90	15.5	20	3
91	15	20	3
92	14.5	20	3
93	14	20	3
94	13.5	20	3
95	13	20	3
96	12.5	20	3
97	12	20	3
98	11.5	20	3
99	11	20	3
100	10.5	20	3
101	10	20	3
102	9.5	20	3
103	9	20	3
104	8.5	20	3
105	8	20	3
106	7.5	20	3
107	7	20	3
108	6.5	20	3
109	6	20	3
110	5.5	20	3
111	5	20	3
112	4.5	20	3
113	4	20	3
114	3.5	20	3
115	3	20	3
116	2.5	20	3
117	2	20	3
118	1.5	20	3
119	1	20	3
120	0.5	20	3
2	0	20	3
121	0	19.5	4
122	0	19	4
123	0	18.5	4
124	0	18	4
125	0	17.5	4
126	0	17	4
127	0	16.5	4
128	0	16	4
129	0	15.5	4
130	0	15	4
131	0	14.5	4
132	0	14	4
133	0	13.5	4
134	0	13	4
135	0	12.5	4
136	0	12	4
137	0	11.5	4
138	0	11	4
139	0	10.5	4
140	0	10	4
141	0	9.5	4
142	0	9	4
143	0	8.5	4
144	0	8	4
145	0	7.5	4
146	0	7	4
147	0	6.5	4
148	0	6	4
149	0	5.5	4
150	0	5	4
151	0	4.5	4
152	0	4	4
153	0	3.5	4
154	0	3	4
155	0	2.5	4
156	0	2	4
157	0	1.5	4
158	0	1	4
159	0	0.5	4
