#Number of elements
4288
#elem	node1	node2	node3	material	neighbor1	neighbor2	neighbor3
0	907	2147	220	40	2	1658	4246
1	906	2132	219	40	7	1481	1657
2	2147	800	220	40	0	582	597
3	1372	473	1926	40	8	332	3110
4	1373	474	1927	40	9	312	3111
5	1376	477	1929	40	10	331	3115
6	1377	478	1931	40	11	314	3117
7	2132	799	219	40	1	395	596
8	473	2079	1926	40	3	505	3786
9	474	2080	1927	40	4	506	3788
10	477	2077	1929	40	5	503	3790
11	478	2078	1931	40	6	504	3792
12	725	1042	2049	40	13	540	1518
13	2049	1042	390	40	12	1610	3701
14	1954	831	1414	40	24	1485	3047
15	732	1554	1078	40	29	583	2281
16	733	1555	1079	40	30	586	2280
17	791	1719	1000	40	25	2426	3138
18	793	1720	1002	40	26	2428	3140
19	792	1721	1001	40	27	2427	3139
20	794	1722	1003	40	28	2429	3141
21	788	1836	1010	40	32	652	2521
22	905	1932	1029	40	34	1350	1874
23	904	1913	1030	40	35	1368	1840
24	335	831	1954	40	14	681	3053
25	1719	207	1000	40	17	157	4120
26	1720	209	1002	40	18	158	4122
27	1721	208	1001	40	19	159	4123
28	1722	210	1003	40	20	160	4125
29	1554	380	1078	40	15	1010	1841
30	1555	381	1079	40	16	1011	1839
31	1155	430	1811	40	102	948	3417
32	1836	182	1010	40	21	1329	2264
33	705	1066	1630	40	65	185	3596
34	1932	501	1029	40	22	1101	2735
35	1913	500	1030	40	23	1696	2736
36	1447	163	625	40	37	1473	3987
37	625	163	1129	40	36	1634	3338
38	1828	1000	448	40	39	213	3703
39	845	1000	1828	40	38	1510	1598
40	1829	1002	449	40	41	214	3705
41	847	1002	1829	40	40	1512	1600
42	1831	1003	451	40	43	216	3707
43	848	1003	1831	40	42	1513	1601
44	887	1563	1433	40	101	879	1790
45	463	1172	1095	40	528	617	2997
46	2156	998	413	40	87	708	2507
47	2157	999	414	40	88	709	2508
48	365	967	966	40	49	1276	2277
49	481	966	967	40	48	1351	1399
50	422	640	1355	40	117	1169	2711
51	423	641	1356	40	118	1170	2712
52	165	1262	841	40	140	666	1467
53	984	1434	2097	40	56	1039	2369
54	384	946	730	40	327	474	1470
55	230	687	937	40	146	454	1053
56	174	1434	984	40	53	1538	2553
57	250	660	1116	40	283	1482	2489
58	392	843	805	40	422	917	1043
59	818	1407	1185	40	248	301	1401
60	819	1408	1186	40	249	302	1402
61	257	881	980	40	62	889	2374
62	432	980	881	40	61	1091	2189
63	258	882	981	40	64	890	2375
64	433	981	882	40	63	1093	2191
65	1630	1066	499	40	33	1103	2904
66	379	677	1569	40	116	1209	2419
67	413	1400	857	40	108	708	1612
68	414	1401	858	40	109	709	1613
69	337	963	789	40	84	97	2000
70	338	964	790	40	85	98	2001
71	213	1092	689	40	72	486	673
72	399	689	1092	40	71	451	2085
73	215	691	1091	40	74	487	674
74	401	1091	691	40	73	452	2083
75	216	692	1093	40	76	488	675
76	402	1093	692	40	75	453	2084
77	400	1094	695	40	197	823	2086
78	329	833	949	40	79	80	1354
79	392	949	833	40	78	1026	1364
80	329	949	685	40	78	481	2058
81	293	1779	1019	40	100	1123	4194
82	198	759	1668	40	150	300	2874
83	359	710	1311	40	252	599	926
84	337	807	963	40	69	411	1346
85	338	808	964	40	70	412	1347
86	336	957	765	40	149	998	2022
87	938	998	2156	40	46	657	1274
88	939	999	2157	40	47	658	1275
89	289	778	1119	40	128	402	3283
90	319	1454	672	40	398	735	2903
91	320	1455	674	40	399	736	1400
92	371	1457	675	40	208	822	3898
93	376	1009	1191	40	147	649	1483
94	377	1010	1192	40	148	651	1484
95	1050	1462	1391	40	198	1574	2488
96	420	1171	786	40	261	541	841
97	337	789	1944	40	69	114	4115
98	338	790	1945	40	70	115	4117
99	251	1415	871	40	161	478	1707
100	293	1019	1308	40	81	1573	1798
101	336	887	1433	40	44	281	1348
102	765	1155	1811	40	31	898	3923
103	360	982	676	40	329	1267	2115
104	350	847	1046	40	110	374	1186
105	351	848	1047	40	111	375	1187
106	346	845	1048	40	112	372	1184
107	347	846	1049	40	113	373	1185
108	413	978	1400	40	67	1523	2314
109	414	979	1401	40	68	1524	2315
110	350	1046	1989	40	104	276	2229
111	351	1047	1990	40	105	277	2230
112	346	1048	1991	40	106	278	2231
113	347	1049	1993	40	107	279	2232
114	789	1537	1944	40	97	1192	3062
115	790	1538	1945	40	98	1193	3063
116	1752	677	379	40	66	376	601
117	422	1319	640	40	50	244	1638
118	423	1320	641	40	51	246	1639
119	609	1225	1300	40	187	1895	3638
120	610	1226	1301	40	188	1896	3639
121	356	937	1800	40	146	247	2846
122	431	1069	802	40	123	392	1236
123	176	802	1069	40	122	770	1280
124	440	937	854	40	247	629	1460
125	706	1489	1067	40	138	810	3226
126	707	1490	1068	40	139	812	3228
127	571	1348	2049	40	209	540	4091
128	289	1037	778	40	89	129	692
129	409	778	1037	40	128	218	613
130	410	779	1038	40	131	219	615
131	290	1038	779	40	130	696	1124
132	291	780	1036	40	133	694	1013
133	411	1036	780	40	132	222	610
134	292	781	1039	40	135	698	1014
135	412	1039	781	40	134	224	612
136	361	797	1710	40	151	433	2270
137	362	798	1711	40	152	434	2273
138	1489	500	1067	40	125	2736	2915
139	1490	501	1068	40	126	2735	3034
140	841	1262	1709	40	52	1417	1693
141	1044	2016	1529	40	199	705	2909
142	894	2050	1237	40	153	548	3901
143	893	2051	1238	40	154	547	3904
144	895	1239	2052	40	155	545	3905
145	896	1240	2053	40	156	546	3908
146	687	1800	937	40	55	121	162
147	376	1191	938	40	93	1274	1570
148	377	1192	939	40	94	1275	1571
149	336	809	957	40	86	394	1348
150	588	1668	759	40	82	484	4036
151	797	1368	1710	40	136	1277	3308
152	798	1369	1711	40	137	1278	3309
153	486	894	1237	40	142	1663	1903
154	487	893	1238	40	143	1664	3022
155	488	1239	895	40	144	1665	3023
156	489	1240	896	40	145	1666	3024
157	207	974	1000	40	25	213	1585
158	209	975	1002	40	26	214	1586
159	208	976	1001	40	27	215	1587
160	210	977	1003	40	28	216	1588
161	251	1210	1415	40	99	2781	3546
162	380	1800	687	40	146	347	390
163	381	1801	688	40	381	391	1129
164	566	1654	711	40	165	405	3416
165	282	711	1654	40	164	371	2670
166	441	906	1012	40	726	839	1271
167	442	907	1013	40	725	1273	1579
168	421	1885	1922	40	175	1088	2936
169	330	1636	686	40	482	686	1608
170	597	1484	897	40	184	1534	1691
171	598	1485	898	40	225	1535	1692
172	386	659	1556	40	298	535	1981
173	303	661	1558	40	294	537	3016
174	304	662	1559	40	295	538	3352
175	421	1922	855	40	168	1194	3478
176	1818	40	41	40	230	1858	-1
177	1820	79	80	40	231	1859	-1
178	1814	157	158	40	232	1854	-1
179	1815	118	119	40	233	1856	-1
180	122	123	1816	40	234	1855	-1
181	83	84	1819	40	235	1857	-1
182	6	1813	5	40	236	1853	-1
183	44	45	1817	40	237	1852	-1
184	597	1670	1484	40	170	1253	1654
185	705	1685	1066	40	33	204	782
