#	x	y	value.real	value.imag	value.abs
+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+4.000000e-01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+8.000000e-01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.200000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.600000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+2.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+2.400000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+2.800000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+3.200000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+3.600000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+4.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+4.400000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+4.800000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+5.200000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+5.600000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+6.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+6.400000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+6.800000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+7.200000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+7.600000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+8.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+8.400000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+8.800000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+9.200000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+9.600000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.000000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.040000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.080000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.120000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.160000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.200000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.240000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.280000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.320000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.360000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.400000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.440000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.480000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.520000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.560000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.600000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.640000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.680000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.720000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.760000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.800000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.840000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.880000e+01	+0.000000e+00	+1.733635e-19	+0.000000e+00	+1.733635e-19
+1.920000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+1.960000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00
+2.000000e+01	+0.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00

+0.000000e+00	+4.000000e-01	+8.835076e-01	+0.000000e+00	+8.835076e-01
+4.000000e-01	+4.000000e-01	+6.099532e-01	+0.000000e+00	+6.099532e-01
+8.000000e-01	+4.000000e-01	+5.602648e-01	+0.000000e+00	+5.602648e-01
+1.200000e+00	+4.000000e-01	+5.215058e-01	+0.000000e+00	+5.215058e-01
+1.600000e+00	+4.000000e-01	+4.885551e-01	+0.000000e+00	+4.885551e-01
+2.000000e+00	+4.000000e-01	+4.579667e-01	+0.000000e+00	+4.579667e-01
+2.400000e+00	+4.000000e-01	+4.295709e-01	+0.000000e+00	+4.295709e-01
+2.800000e+00	+4.000000e-01	+4.030174e-01	+0.000000e+00	+4.030174e-01
+3.200000e+00	+4.000000e-01	+3.781383e-01	+0.000000e+00	+3.781383e-01
+3.600000e+00	+4.000000e-01	+3.548021e-01	+0.000000e+00	+3.548021e-01
+4.000000e+00	+4.000000e-01	+3.328960e-01	+0.000000e+00	+3.328960e-01
+4.400000e+00	+4.000000e-01	+3.123228e-01	+0.000000e+00	+3.123228e-01
+4.800000e+00	+4.000000e-01	+2.929949e-01	+0.000000e+00	+2.929949e-01
+5.200000e+00	+4.000000e-01	+2.748315e-01	+0.000000e+00	+2.748315e-01
+5.600000e+00	+4.000000e-01	+2.577571e-01	+0.000000e+00	+2.577571e-01
+6.000000e+00	+4.000000e-01	+2.417018e-01	+0.000000e+00	+2.417018e-01
+6.400000e+00	+4.000000e-01	+2.266014e-01	+0.000000e+00	+2.266014e-01
+6.800000e+00	+4.000000e-01	+2.123944e-01	+0.000000e+00	+2.123944e-01
+7.200000e+00	+4.000000e-01	+1.990262e-01	+0.000000e+00	+1.990262e-01
+7.600000e+00	+4.000000e-01	+1.864436e-01	+0.000000e+00	+1.864436e-01
+8.000000e+00	+4.000000e-01	+1.745970e-01	+0.000000e+00	+1.745970e-01
+8.400000e+00	+4.000000e-01	+1.634406e-01	+0.000000e+00	+1.634406e-01
+8.800000e+00	+4.000000e-01	+1.529302e-01	+0.000000e+00	+1.529302e-01
+9.200000e+00	+4.000000e-01	+1.430236e-01	+0.000000e+00	+1.430236e-01
+9.600000e+00	+4.000000e-01	+1.336821e-01	+0.000000e+00	+1.336821e-01
+1.000000e+01	+4.000000e-01	+1.248710e-01	+0.000000e+00	+1.248710e-01
+1.040000e+01	+4.000000e-01	+1.165527e-01	+0.000000e+00	+1.165527e-01
+1.080000e+01	+4.000000e-01	+1.086973e-01	+0.000000e+00	+1.086973e-01
+1.120000e+01	+4.000000e-01	+1.012707e-01	+0.000000e+00	+1.012707e-01
+1.160000e+01	+4.000000e-01	+9.424337e-02	+0.000000e+00	+9.424337e-02
+1.200000e+01	+4.000000e-01	+8.758945e-02	+0.000000e+00	+8.758945e-02
+1.240000e+01	+4.000000e-01	+8.128193e-02	+0.000000e+00	+8.128193e-02
+1.280000e+01	+4.000000e-01	+7.529468e-02	+0.000000e+00	+7.529468e-02
+1.320000e+01	+4.000000e-01	+6.960868e-02	+0.000000e+00	+6.960868e-02
+1.360000e+01	+4.000000e-01	+6.419702e-02	+0.000000e+00	+6.419702e-02
+1.400000e+01	+4.000000e-01	+5.904079e-02	+0.000000e+00	+5.904079e-02
+1.440000e+01	+4.000000e-01	+5.411776e-02	+0.000000e+00	+5.411776e-02
+1.480000e+01	+4.000000e-01	+4.940807e-02	+0.000000e+00	+4.940807e-02
+1.520000e+01	+4.000000e-01	+4.489357e-02	+0.000000e+00	+4.489357e-02
+1.560000e+01	+4.000000e-01	+4.055613e-02	+0.000000e+00	+4.055613e-02
+1.600000e+01	+4.000000e-01	+3.637766e-02	+0.000000e+00	+3.637766e-02
+1.640000e+01	+4.000000e-01	+3.234140e-02	+0.000000e+00	+3.234140e-02
+1.680000e+01	+4.000000e-01	+2.843221e-02	+0.000000e+00	+2.843221e-02
+1.720000e+01	+4.000000e-01	+2.463478e-02	+0.000000e+00	+2.463478e-02
+1.760000e+01	+4.000000e-01	+2.093521e-02	+0.000000e+00	+2.093521e-02
+1.800000e+01	+4.000000e-01	+1.731912e-02	+0.000000e+00	+1.731912e-02
+1.840000e+01	+4.000000e-01	+1.377442e-02	+0.000000e+00	+1.377442e-02
+1.880000e+01	+4.000000e-01	+1.028701e-02	+0.000000e+00	+1.028701e-02
+1.920000e+01	+4.000000e-01	+6.848417e-03	+0.000000e+00	+6.848417e-03
+1.960000e+01	+4.000000e-01	+3.473394e-03	+0.000000e+00	+3.473394e-03
+2.000000e+01	+4.000000e-01	+5.392066e-05	+0.000000e+00	+5.392066e-05

